total_consumption;date;hour
4.338;14.09.2022;9
2.101;14.09.2022;10
3.456;14.09.2022;11
1.957;14.09.2022;12
2.277;14.09.2022;13
2.928;14.09.2022;14
4.247;14.09.2022;15
2.641;14.09.2022;16
4.033;14.09.2022;17
3.507;14.09.2022;18
2.909;14.09.2022;19
5.255;14.09.2022;20
7.938;14.09.2022;21
5.266;14.09.2022;22
2.56;14.09.2022;23
1.852;14.09.2022;24
77.463;14.09.2022;Kokku
1.935;15.09.2022;1
2.045;15.09.2022;2
1.803;15.09.2022;3
1.893;15.09.2022;4
3.371;15.09.2022;5
2.903;15.09.2022;6
2.811;15.09.2022;7
2.91;15.09.2022;8
5.14;15.09.2022;9
2.699;15.09.2022;10
2.216;15.09.2022;11
1.787;15.09.2022;12
2.159;15.09.2022;13
1.893;15.09.2022;14
4.357;15.09.2022;15
4.466;15.09.2022;16
4.11;15.09.2022;17
3.233;15.09.2022;18
3.591;15.09.2022;19
3.812;15.09.2022;20
4.466;15.09.2022;21
4.221;15.09.2022;22
2.136;15.09.2022;23
1.681;15.09.2022;24
71.638;15.09.2022;Kokku
2.054;16.09.2022;1
1.98;16.09.2022;2
1.947;16.09.2022;3
2.122;16.09.2022;4
3.025;16.09.2022;5
2.542;16.09.2022;6
3.846;16.09.2022;7
5.176;16.09.2022;8
3.804;16.09.2022;9
1.907;16.09.2022;10
3.154;16.09.2022;11
5.109;16.09.2022;12
4.775;16.09.2022;13
2.624;16.09.2022;14
2.735;16.09.2022;15
2.581;16.09.2022;16
2.291;16.09.2022;17
2.306;16.09.2022;18
3.424;16.09.2022;19
3.991;16.09.2022;20
4.747;16.09.2022;21
3.921;16.09.2022;22
1.806;16.09.2022;23
1.667;16.09.2022;24
73.534;16.09.2022;Kokku
1.654;17.09.2022;1
1.494;17.09.2022;2
1.917;17.09.2022;3
1.942;17.09.2022;4
1.762;17.09.2022;5
1.524;17.09.2022;6
1.812;17.09.2022;7
2.143;17.09.2022;8
4.767;17.09.2022;9
2.271;17.09.2022;10
4.372;17.09.2022;11
6.116;17.09.2022;12
6.09;17.09.2022;13
3.324;17.09.2022;14
4.867;17.09.2022;15
2.588;17.09.2022;16
3.391;17.09.2022;17
4.027;17.09.2022;18
4.697;17.09.2022;19
4.966;17.09.2022;20
3.095;17.09.2022;21
3.142;17.09.2022;22
2.898;17.09.2022;23
1.256;17.09.2022;24
76.115;17.09.2022;Kokku
1.385;18.09.2022;1
1.288;18.09.2022;2
1.213;18.09.2022;3
1.405;18.09.2022;4
1.466;18.09.2022;5
2.661;18.09.2022;6
2.062;18.09.2022;7
2.313;18.09.2022;8
2.567;18.09.2022;9
4.397;18.09.2022;10
3.266;18.09.2022;11
2.966;18.09.2022;12
2.892;18.09.2022;13
2.279;18.09.2022;14
3.566;18.09.2022;15
3.205;18.09.2022;16
3.765;18.09.2022;17
3.163;18.09.2022;18
5.272;18.09.2022;19
5.796;18.09.2022;20
5.261;18.09.2022;21
3.724;18.09.2022;22
2.236;18.09.2022;23
1.67;18.09.2022;24
69.818;18.09.2022;Kokku
1.592;19.09.2022;1
1.651;19.09.2022;2
1.978;19.09.2022;3
1.722;19.09.2022;4
2.665;19.09.2022;5
2.446;19.09.2022;6
2.98;19.09.2022;7
2.09;19.09.2022;8
2.994;19.09.2022;9
2.929;19.09.2022;10
2.17;19.09.2022;11
2.372;19.09.2022;12
2.808;19.09.2022;13
3.382;19.09.2022;14
3.764;19.09.2022;15
2.784;19.09.2022;16
2.798;19.09.2022;17
3.781;19.09.2022;18
5.275;19.09.2022;19
5.396;19.09.2022;20
4.382;19.09.2022;21
4.101;19.09.2022;22
1.854;19.09.2022;23
1.407;19.09.2022;24
69.321;19.09.2022;Kokku
1.552;20.09.2022;1
1.788;20.09.2022;2
1.614;20.09.2022;3
1.569;20.09.2022;4
1.84;20.09.2022;5
3.213;20.09.2022;6
3.321;20.09.2022;7
2.742;20.09.2022;8
2.503;20.09.2022;9
1.817;20.09.2022;10
1.612;20.09.2022;11
1.928;20.09.2022;12
3.468;20.09.2022;13
2.948;20.09.2022;14
2.03;20.09.2022;15
3.52;20.09.2022;16
4.123;20.09.2022;17
2.771;20.09.2022;18
4.139;20.09.2022;19
3.589;20.09.2022;20
5.709;20.09.2022;21
3.155;20.09.2022;22
1.419;20.09.2022;23
1.391;20.09.2022;24
63.761;20.09.2022;Kokku
1.531;21.09.2022;1
1.419;21.09.2022;2
1.866;21.09.2022;3
1.76;21.09.2022;4
1.768;21.09.2022;5
2.208;21.09.2022;6
3.73;21.09.2022;7
2.755;21.09.2022;8
2.206;21.09.2022;9
2.103;21.09.2022;10
1.796;21.09.2022;11
2.599;21.09.2022;12
1.94;21.09.2022;13
2.742;21.09.2022;14
1.795;21.09.2022;15
1.809;21.09.2022;16
2.564;21.09.2022;17
3.023;21.09.2022;18
2.817;21.09.2022;19
4.076;21.09.2022;20
4.921;21.09.2022;21
3.444;21.09.2022;22
1.999;21.09.2022;23
1.41;21.09.2022;24
58.281;21.09.2022;Kokku
1.524;22.09.2022;1
1.436;22.09.2022;2
1.693;22.09.2022;3
1.802;22.09.2022;4
2.824;22.09.2022;5
2.24;22.09.2022;6
2.324;22.09.2022;7
1.75;22.09.2022;8
2.409;22.09.2022;9
1.947;22.09.2022;10
1.421;22.09.2022;11
1.189;22.09.2022;12
1.64;22.09.2022;13
2.787;22.09.2022;14
2.492;22.09.2022;15
2.209;22.09.2022;16
2.239;22.09.2022;17
2.105;22.09.2022;18
2.404;22.09.2022;19
2.85;22.09.2022;20
6.209;22.09.2022;21
3.169;22.09.2022;22
1.588;22.09.2022;23
1.234;22.09.2022;24
53.485;22.09.2022;Kokku
1.302;23.09.2022;1
1.413;23.09.2022;2
1.375;23.09.2022;3
1.516;23.09.2022;4
2.647;23.09.2022;5
1.704;23.09.2022;6
3.379;23.09.2022;7
3.895;23.09.2022;8
2.564;23.09.2022;9
2.09;23.09.2022;10
1.676;23.09.2022;11
2.244;23.09.2022;12
2.367;23.09.2022;13
3.542;23.09.2022;14
1.61;23.09.2022;15
2.211;23.09.2022;16
2.107;23.09.2022;17
2.258;23.09.2022;18
2.773;23.09.2022;19
7.528;23.09.2022;20
5.053;23.09.2022;21
2.459;23.09.2022;22
1.419;23.09.2022;23
1.777;23.09.2022;24
60.909;23.09.2022;Kokku
1.265;24.09.2022;1
1.395;24.09.2022;2
1.423;24.09.2022;3
1.318;24.09.2022;4
2.619;24.09.2022;5
1.515;24.09.2022;6
1.738;24.09.2022;7
3.615;24.09.2022;8
3.273;24.09.2022;9
3.875;24.09.2022;10
3.19;24.09.2022;11
3.575;24.09.2022;12
3.253;24.09.2022;13
1.921;24.09.2022;14
1.718;24.09.2022;15
1.75;24.09.2022;16
2.378;24.09.2022;17
3.288;24.09.2022;18
2.373;24.09.2022;19
2.247;24.09.2022;20
2.089;24.09.2022;21
2.055;24.09.2022;22
3.213;24.09.2022;23
3.132;24.09.2022;24
58.218;24.09.2022;Kokku
1.878;25.09.2022;1
1.738;25.09.2022;2
1.684;25.09.2022;3
1.919;25.09.2022;4
1.301;25.09.2022;5
1.391;25.09.2022;6
1.668;25.09.2022;7
2.3;25.09.2022;8
1.929;25.09.2022;9
1.876;25.09.2022;10
2.72;25.09.2022;11
4.102;25.09.2022;12
4.934;25.09.2022;13
3.436;25.09.2022;14
3.793;25.09.2022;15
3.595;25.09.2022;16
3.022;25.09.2022;17
3.411;25.09.2022;18
5.899;25.09.2022;19
5.468;25.09.2022;20
5.785;25.09.2022;21
4.366;25.09.2022;22
2.707;25.09.2022;23
1.857;25.09.2022;24
72.779;25.09.2022;Kokku
1.696;26.09.2022;1
1.713;26.09.2022;2
1.667;26.09.2022;3
2.916;26.09.2022;4
1.689;26.09.2022;5
1.677;26.09.2022;6
3.036;26.09.2022;7
3.236;26.09.2022;8
1.767;26.09.2022;9
1.588;26.09.2022;10
1.363;26.09.2022;11
1.358;26.09.2022;12
2.266;26.09.2022;13
2.15;26.09.2022;14
3.195;26.09.2022;15
1.754;26.09.2022;16
3.65;26.09.2022;17
3.181;26.09.2022;18
2.204;26.09.2022;19
2.544;26.09.2022;20
3.957;26.09.2022;21
3.219;26.09.2022;22
1.429;26.09.2022;23
1.337;26.09.2022;24
54.592;26.09.2022;Kokku
1.252;27.09.2022;1
1.394;27.09.2022;2
1.496;27.09.2022;3
1.507;27.09.2022;4
2.602;27.09.2022;5
2.138;27.09.2022;6
3.196;27.09.2022;7
2.423;27.09.2022;8
2.113;27.09.2022;9
1.612;27.09.2022;10
1.616;27.09.2022;11
2.208;27.09.2022;12
2.29;27.09.2022;13
1.88;27.09.2022;14
1.851;27.09.2022;15
2.743;27.09.2022;16
1.672;27.09.2022;17
2.617;27.09.2022;18
3.281;27.09.2022;19
2.703;27.09.2022;20
3.989;27.09.2022;21
4.264;27.09.2022;22
1.876;27.09.2022;23
1.292;27.09.2022;24
54.015;27.09.2022;Kokku
1.338;28.09.2022;1
1.478;28.09.2022;2
1.336;28.09.2022;3
1.49;28.09.2022;4
1.523;28.09.2022;5
2.238;28.09.2022;6
2.254;28.09.2022;7
2.679;28.09.2022;8
2.602;28.09.2022;9
1.973;28.09.2022;10
1.617;28.09.2022;11
2.33;28.09.2022;12
2.59;28.09.2022;13
2.048;28.09.2022;14
2.703;28.09.2022;15
1.897;28.09.2022;16
4.817;28.09.2022;17
5.416;28.09.2022;18
4.515;28.09.2022;19
4.673;28.09.2022;20
3.35;28.09.2022;21
3.71;28.09.2022;22
1.616;28.09.2022;23
1.463;28.09.2022;24
61.656;28.09.2022;Kokku
1.375;29.09.2022;1
1.261;29.09.2022;2
1.355;29.09.2022;3
1.433;29.09.2022;4
2.234;29.09.2022;5
2.963;29.09.2022;6
2.72;29.09.2022;7
3.068;29.09.2022;8
1.486;29.09.2022;9
1.312;29.09.2022;10
1.07;29.09.2022;11
1.85;29.09.2022;12
2.673;29.09.2022;13
1.771;29.09.2022;14
3.584;29.09.2022;15
3.113;29.09.2022;16
3.886;29.09.2022;17
5.608;29.09.2022;18
2.953;29.09.2022;19
2.804;29.09.2022;20
5.345;29.09.2022;21
4.069;29.09.2022;22
1.959;29.09.2022;23
1.195;29.09.2022;24
61.087;29.09.2022;Kokku
1.327;30.09.2022;1
1.25;30.09.2022;2
1.122;30.09.2022;3
1.263;30.09.2022;4
1.27;30.09.2022;5
2.082;30.09.2022;6
3.122;30.09.2022;7
1.704;30.09.2022;8
2.36;30.09.2022;9
1.671;30.09.2022;10
1.547;30.09.2022;11
2.784;30.09.2022;12
2.22;30.09.2022;13
1.43;30.09.2022;14
1.724;30.09.2022;15
1.54;30.09.2022;16
1.608;30.09.2022;17
3.156;30.09.2022;18
2.387;30.09.2022;19
2.602;30.09.2022;20
2.859;30.09.2022;21
3.616;30.09.2022;22
1.884;30.09.2022;23
1.043;30.09.2022;24
47.571;30.09.2022;Kokku
1.153;1.10.2022;1
1.163;1.10.2022;2
1.226;1.10.2022;3
1.271;1.10.2022;4
1.7;1.10.2022;5
1.155;1.10.2022;6
1.785;1.10.2022;7
2.889;1.10.2022;8
4.155;1.10.2022;9
2.743;1.10.2022;10
3.53;1.10.2022;11
3.079;1.10.2022;12
2.38;1.10.2022;13
1.6;1.10.2022;14
1.652;1.10.2022;15
1.495;1.10.2022;16
3.546;1.10.2022;17
2.859;1.10.2022;18
2.973;1.10.2022;19
2.582;1.10.2022;20
3.282;1.10.2022;21
3.294;1.10.2022;22
2.686;1.10.2022;23
1.381;1.10.2022;24
55.579;1.10.2022;Kokku
1.26;2.10.2022;1
1.317;2.10.2022;2
1.35;2.10.2022;3
1.259;2.10.2022;4
1.163;2.10.2022;5
1.579;2.10.2022;6
1.928;2.10.2022;7
2.245;2.10.2022;8
4.387;2.10.2022;9
3.56;2.10.2022;10
3.36;2.10.2022;11
2.854;2.10.2022;12
4.773;2.10.2022;13
4.723;2.10.2022;14
4.217;2.10.2022;15
3.159;2.10.2022;16
2.333;2.10.2022;17
3.049;2.10.2022;18
2.787;2.10.2022;19
6.172;2.10.2022;20
5.74;2.10.2022;21
3.116;2.10.2022;22
1.389;2.10.2022;23
1.126;2.10.2022;24
68.846;2.10.2022;Kokku
1.1;3.10.2022;1
1.406;3.10.2022;2
1.3;3.10.2022;3
1.38;3.10.2022;4
1.75;3.10.2022;5
2.632;3.10.2022;6
2.473;3.10.2022;7
2.087;3.10.2022;8
1.954;3.10.2022;9
1.386;3.10.2022;10
1.683;3.10.2022;11
1.588;3.10.2022;12
1.293;3.10.2022;13
2.59;3.10.2022;14
4.494;3.10.2022;15
3.48;3.10.2022;16
5.056;3.10.2022;17
4.099;3.10.2022;18
4.167;3.10.2022;19
3.136;3.10.2022;20
4.685;3.10.2022;21
3.206;3.10.2022;22
1.721;3.10.2022;23
1.335;3.10.2022;24
60.001;3.10.2022;Kokku
1.303;4.10.2022;1
1.51;4.10.2022;2
1.28;4.10.2022;3
1.511;4.10.2022;4
1.568;4.10.2022;5
1.956;4.10.2022;6
3.754;4.10.2022;7
2.693;4.10.2022;8
2.211;4.10.2022;9
1.524;4.10.2022;10
1.509;4.10.2022;11
2.334;4.10.2022;12
1.708;4.10.2022;13
2.409;4.10.2022;14
2.821;4.10.2022;15
1.916;4.10.2022;16
4.6;4.10.2022;17
3.803;4.10.2022;18
2.935;4.10.2022;19
3.568;4.10.2022;20
3.988;4.10.2022;21
3.706;4.10.2022;22
1.867;4.10.2022;23
1.531;4.10.2022;24
58.005;4.10.2022;Kokku
1.421;5.10.2022;1
1.304;5.10.2022;2
1.371;5.10.2022;3
1.705;5.10.2022;4
2.039;5.10.2022;5
3.113;5.10.2022;6
2.663;5.10.2022;7
2.627;5.10.2022;8
3.084;5.10.2022;9
1.623;5.10.2022;10
1.536;5.10.2022;11
1.46;5.10.2022;12
2.321;5.10.2022;13
3.81;5.10.2022;14
4.468;5.10.2022;15
4.271;5.10.2022;16
2.733;5.10.2022;17
3.661;5.10.2022;18
2.794;5.10.2022;19
3.031;5.10.2022;20
4.77;5.10.2022;21
1.981;5.10.2022;22
1.492;5.10.2022;23
1.372;5.10.2022;24
60.65;5.10.2022;Kokku
1.481;6.10.2022;1
1.437;6.10.2022;2
1.624;6.10.2022;3
1.769;6.10.2022;4
1.561;6.10.2022;5
3.034;6.10.2022;6
2.925;6.10.2022;7
2.948;6.10.2022;8
2.159;6.10.2022;9
2.604;6.10.2022;10
2.184;6.10.2022;11
2.231;6.10.2022;12
1.741;6.10.2022;13
2.336;6.10.2022;14
1.818;6.10.2022;15
3.196;6.10.2022;16
3.237;6.10.2022;17
3.971;6.10.2022;18
2.56;6.10.2022;19
2.736;6.10.2022;20
3.309;6.10.2022;21
3.049;6.10.2022;22
1.72;6.10.2022;23
1.388;6.10.2022;24
57.018;6.10.2022;Kokku
1.5;7.10.2022;1
1.417;7.10.2022;2
1.439;7.10.2022;3
1.578;7.10.2022;4
1.739;7.10.2022;5
3.068;7.10.2022;6
2.444;7.10.2022;7
2.783;7.10.2022;8
2.631;7.10.2022;9
2.211;7.10.2022;10
2.9;7.10.2022;11
2.263;7.10.2022;12
3.487;7.10.2022;13
3.555;7.10.2022;14
4.156;7.10.2022;15
4.325;7.10.2022;16
3.218;7.10.2022;17
5.725;7.10.2022;18
6.178;7.10.2022;19
5.671;7.10.2022;20
5.437;7.10.2022;21
3.389;7.10.2022;22
1.818;7.10.2022;23
1.287;7.10.2022;24
74.219;7.10.2022;Kokku
1.494;8.10.2022;1
1.386;8.10.2022;2
1.545;8.10.2022;3
1.332;8.10.2022;4
1.449;8.10.2022;5
1.513;8.10.2022;6
1.444;8.10.2022;7
2.853;8.10.2022;8
3.653;8.10.2022;9
3.813;8.10.2022;10
4.138;8.10.2022;11
2.484;8.10.2022;12
1.98;8.10.2022;13
3.516;8.10.2022;14
2.437;8.10.2022;15
1.867;8.10.2022;16
3.687;8.10.2022;17
2.371;8.10.2022;18
3.225;8.10.2022;19
4.338;8.10.2022;20
3.512;8.10.2022;21
2.691;8.10.2022;22
1.402;8.10.2022;23
1.404;8.10.2022;24
59.534;8.10.2022;Kokku
1.29;9.10.2022;1
1.299;9.10.2022;2
1.75;9.10.2022;3
2.054;9.10.2022;4
1.417;9.10.2022;5
1.256;9.10.2022;6
1.559;9.10.2022;7
2.665;9.10.2022;8
3.451;9.10.2022;9
4.192;9.10.2022;10
2.971;9.10.2022;11
4.091;9.10.2022;12
2.746;9.10.2022;13
2.377;9.10.2022;14
2.39;9.10.2022;15
2.829;9.10.2022;16
4.922;9.10.2022;17
2.526;9.10.2022;18
4.95;9.10.2022;19
6.827;9.10.2022;20
4.229;9.10.2022;21
3.216;9.10.2022;22
2.045;9.10.2022;23
1.288;9.10.2022;24
68.34;9.10.2022;Kokku
1.413;10.10.2022;1
1.468;10.10.2022;2
1.255;10.10.2022;3
1.516;10.10.2022;4
1.798;10.10.2022;5
1.978;10.10.2022;6
3.455;10.10.2022;7
2.344;10.10.2022;8
2.247;10.10.2022;9
1.646;10.10.2022;10
3.337;10.10.2022;11
3.654;10.10.2022;12
2.347;10.10.2022;13
1.916;10.10.2022;14
3.877;10.10.2022;15
4.628;10.10.2022;16
3.836;10.10.2022;17
2.723;10.10.2022;18
4.562;10.10.2022;19
6.035;10.10.2022;20
5.623;10.10.2022;21
3.448;10.10.2022;22
3.317;10.10.2022;23
1.515;10.10.2022;24
69.938;10.10.2022;Kokku
1.687;11.10.2022;1
1.222;11.10.2022;2
1.267;11.10.2022;3
1.324;11.10.2022;4
1.457;11.10.2022;5
1.899;11.10.2022;6
2.652;11.10.2022;7
2.423;11.10.2022;8
4.368;11.10.2022;9
2.634;11.10.2022;10
2.153;11.10.2022;11
1.817;11.10.2022;12
1.359;11.10.2022;13
1.655;11.10.2022;14
2.048;11.10.2022;15
2.391;11.10.2022;16
4.386;11.10.2022;17
3.479;11.10.2022;18
3.901;11.10.2022;19
5.04;11.10.2022;20
5.113;11.10.2022;21
3.33;11.10.2022;22
1.779;11.10.2022;23
1.62;11.10.2022;24
61.004;11.10.2022;Kokku
1.465;12.10.2022;1
1.427;12.10.2022;2
1.965;12.10.2022;3
1.594;12.10.2022;4
1.919;12.10.2022;5
3.427;12.10.2022;6
2.393;12.10.2022;7
2.612;12.10.2022;8
3.186;12.10.2022;9
1.784;12.10.2022;10
2.571;12.10.2022;11
2.152;12.10.2022;12
1.949;12.10.2022;13
1.74;12.10.2022;14
3.282;12.10.2022;15
4.243;12.10.2022;16
3.737;12.10.2022;17
2.762;12.10.2022;18
6.077;12.10.2022;19
3.309;12.10.2022;20
3.731;12.10.2022;21
2.948;12.10.2022;22
1.927;12.10.2022;23
1.501;12.10.2022;24
63.701;12.10.2022;Kokku
1.929;13.10.2022;1
1.477;13.10.2022;2
1.665;13.10.2022;3
1.771;13.10.2022;4
2.34;13.10.2022;5
2.258;13.10.2022;6
3.478;13.10.2022;7
2.356;13.10.2022;8
2.564;13.10.2022;9
1.997;13.10.2022;10
2.41;13.10.2022;11
2.488;13.10.2022;12
2.084;13.10.2022;13
2.317;13.10.2022;14
3.23;13.10.2022;15
1.94;13.10.2022;16
3.315;13.10.2022;17
4.233;13.10.2022;18
4.972;13.10.2022;19
4.04;13.10.2022;20
2.908;13.10.2022;21
3.324;13.10.2022;22
1.612;13.10.2022;23
1.441;13.10.2022;24
62.149;13.10.2022;Kokku
1.528;14.10.2022;1
1.742;14.10.2022;2
1.445;14.10.2022;3
2.319;14.10.2022;4
1.58;14.10.2022;5
1.853;14.10.2022;6
2.487;14.10.2022;7
2.362;14.10.2022;8
2.871;14.10.2022;9
1.5;14.10.2022;10
2.151;14.10.2022;11
2.14;14.10.2022;12
2.928;14.10.2022;13
2.271;14.10.2022;14
1.782;14.10.2022;15
2.605;14.10.2022;16
2.845;14.10.2022;17
2.556;14.10.2022;18
4.456;14.10.2022;19
5.545;14.10.2022;20
3.036;14.10.2022;21
3.377;14.10.2022;22
3.776;14.10.2022;23
3.192;14.10.2022;24
62.347;14.10.2022;Kokku
3.258;15.10.2022;1
2.007;15.10.2022;2
1.813;15.10.2022;3
2.238;15.10.2022;4
1.892;15.10.2022;5
2.023;15.10.2022;6
2.196;15.10.2022;7
2.854;15.10.2022;8
2.94;15.10.2022;9
3.141;15.10.2022;10
6.61;15.10.2022;11
3.375;15.10.2022;12
2.363;15.10.2022;13
2.469;15.10.2022;14
2.165;15.10.2022;15
2.017;15.10.2022;16
4.265;15.10.2022;17
5.714;15.10.2022;18
6;15.10.2022;19
3.772;15.10.2022;20
4.27;15.10.2022;21
3.127;15.10.2022;22
2.07;15.10.2022;23
1.804;15.10.2022;24
74.383;15.10.2022;Kokku
1.71;16.10.2022;1
1.552;16.10.2022;2
1.715;16.10.2022;3
1.618;16.10.2022;4
1.556;16.10.2022;5
1.868;16.10.2022;6
2.223;16.10.2022;7
3.285;16.10.2022;8
3.921;16.10.2022;9
2.666;16.10.2022;10
4.157;16.10.2022;11
5.666;16.10.2022;12
5.194;16.10.2022;13
4.421;16.10.2022;14
3.174;16.10.2022;15
3.164;16.10.2022;16
3.843;16.10.2022;17
3.839;16.10.2022;18
6.013;16.10.2022;19
6.348;16.10.2022;20
4.044;16.10.2022;21
2.479;16.10.2022;22
2.606;16.10.2022;23
1.459;16.10.2022;24
78.521;16.10.2022;Kokku
1.599;17.10.2022;1
1.353;17.10.2022;2
1.475;17.10.2022;3
1.57;17.10.2022;4
1.81;17.10.2022;5
2.46;17.10.2022;6
1.902;17.10.2022;7
2.762;17.10.2022;8
3.143;17.10.2022;9
1.948;17.10.2022;10
1.979;17.10.2022;11
4.793;17.10.2022;12
4.123;17.10.2022;13
4.529;17.10.2022;14
3.091;17.10.2022;15
5.988;17.10.2022;16
3.966;17.10.2022;17
3.721;17.10.2022;18
5.695;17.10.2022;19
5.512;17.10.2022;20
4.322;17.10.2022;21
3.203;17.10.2022;22
2.539;17.10.2022;23
1.826;17.10.2022;24
75.309;17.10.2022;Kokku
1.482;18.10.2022;1
1.561;18.10.2022;2
1.444;18.10.2022;3
1.644;18.10.2022;4
1.482;18.10.2022;5
2.682;18.10.2022;6
2.527;18.10.2022;7
2.581;18.10.2022;8
2.412;18.10.2022;9
1.693;18.10.2022;10
2.168;18.10.2022;11
1.713;18.10.2022;12
1.701;18.10.2022;13
2.242;18.10.2022;14
2.335;18.10.2022;15
4.23;18.10.2022;16
3.535;18.10.2022;17
3.657;18.10.2022;18
3.725;18.10.2022;19
4.259;18.10.2022;20
3.746;18.10.2022;21
3.768;18.10.2022;22
2.17;18.10.2022;23
1.269;18.10.2022;24
60.026;18.10.2022;Kokku
1.464;19.10.2022;1
1.207;19.10.2022;2
1.387;19.10.2022;3
1.472;19.10.2022;4
1.4;19.10.2022;5
2.09;19.10.2022;6
2.677;19.10.2022;7
2.589;19.10.2022;8
2.527;19.10.2022;9
1.532;19.10.2022;10
1.505;19.10.2022;11
1.413;19.10.2022;12
1.996;19.10.2022;13
1.616;19.10.2022;14
3.633;19.10.2022;15
3.944;19.10.2022;16
3.091;19.10.2022;17
3.94;19.10.2022;18
3.717;19.10.2022;19
5.281;19.10.2022;20
6.273;19.10.2022;21
3.656;19.10.2022;22
2.152;19.10.2022;23
1.169;19.10.2022;24
61.731;19.10.2022;Kokku
1.258;20.10.2022;1
1.41;20.10.2022;2
1.408;20.10.2022;3
1.442;20.10.2022;4
1.551;20.10.2022;5
1.811;20.10.2022;6
2.87;20.10.2022;7
2.781;20.10.2022;8
2.267;20.10.2022;9
2.268;20.10.2022;10
3.124;20.10.2022;11
2.959;20.10.2022;12
2.361;20.10.2022;13
2.355;20.10.2022;14
1.584;20.10.2022;15
2.817;20.10.2022;16
3.321;20.10.2022;17
2.982;20.10.2022;18
4.418;20.10.2022;19
4.694;20.10.2022;20
4.172;20.10.2022;21
3.059;20.10.2022;22
2.959;20.10.2022;23
1.913;20.10.2022;24
61.784;20.10.2022;Kokku
1.447;21.10.2022;1
1.51;21.10.2022;2
1.509;21.10.2022;3
1.862;21.10.2022;4
1.573;21.10.2022;5
2.333;21.10.2022;6
2.519;21.10.2022;7
2.334;21.10.2022;8
2.76;21.10.2022;9
1.778;21.10.2022;10
3.349;21.10.2022;11
2.647;21.10.2022;12
2.52;21.10.2022;13
3.502;21.10.2022;14
4.569;21.10.2022;15
4.57;21.10.2022;16
3.887;21.10.2022;17
3.629;21.10.2022;18
4.375;21.10.2022;19
3.375;21.10.2022;20
3.557;21.10.2022;21
4.332;21.10.2022;22
1.677;21.10.2022;23
1.763;21.10.2022;24
67.377;21.10.2022;Kokku
1.57;22.10.2022;1
1.497;22.10.2022;2
2.004;22.10.2022;3
1.459;22.10.2022;4
1.734;22.10.2022;5
1.336;22.10.2022;6
2.022;22.10.2022;7
3.47;22.10.2022;8
3.897;22.10.2022;9
3.269;22.10.2022;10
3.666;22.10.2022;11
3.071;22.10.2022;12
4.718;22.10.2022;13
3.898;22.10.2022;14
2.604;22.10.2022;15
2.704;22.10.2022;16
5.985;22.10.2022;17
6.136;22.10.2022;18
2.218;22.10.2022;19
2.56;22.10.2022;20
2.341;22.10.2022;21
2.399;22.10.2022;22
1.746;22.10.2022;23
1.663;22.10.2022;24
67.967;22.10.2022;Kokku
1.673;23.10.2022;1
1.536;23.10.2022;2
1.537;23.10.2022;3
1.637;23.10.2022;4
1.645;23.10.2022;5
1.747;23.10.2022;6
1.822;23.10.2022;7
3.555;23.10.2022;8
2.779;23.10.2022;9
3.263;23.10.2022;10
3.033;23.10.2022;11
3.054;23.10.2022;12
3.968;23.10.2022;13
3.043;23.10.2022;14
2.947;23.10.2022;15
2.081;23.10.2022;16
3.522;23.10.2022;17
6.033;23.10.2022;18
4.828;23.10.2022;19
6.574;23.10.2022;20
4.673;23.10.2022;21
3.239;23.10.2022;22
3.01;23.10.2022;23
1.467;23.10.2022;24
72.666;23.10.2022;Kokku
1.769;24.10.2022;1
1.907;24.10.2022;2
1.806;24.10.2022;3
2.243;24.10.2022;4
1.639;24.10.2022;5
2.453;24.10.2022;6
3.885;24.10.2022;7
3.068;24.10.2022;8
2.253;24.10.2022;9
2.168;24.10.2022;10
2.386;24.10.2022;11
2.036;24.10.2022;12
3.425;24.10.2022;13
3.349;24.10.2022;14
2.281;24.10.2022;15
2.305;24.10.2022;16
3.441;24.10.2022;17
5.077;24.10.2022;18
4.345;24.10.2022;19
3.29;24.10.2022;20
4.567;24.10.2022;21
2.967;24.10.2022;22
2.146;24.10.2022;23
1.728;24.10.2022;24
66.534;24.10.2022;Kokku
1.503;25.10.2022;1
1.657;25.10.2022;2
1.676;25.10.2022;3
1.77;25.10.2022;4
2.108;25.10.2022;5
2.734;25.10.2022;6
4.651;25.10.2022;7
3.107;25.10.2022;8
2.387;25.10.2022;9
2.591;25.10.2022;10
2.547;25.10.2022;11
3.007;25.10.2022;12
2.304;25.10.2022;13
3.018;25.10.2022;14
2.518;25.10.2022;15
2.101;25.10.2022;16
3.736;25.10.2022;17
3.623;25.10.2022;18
3.648;25.10.2022;19
3.694;25.10.2022;20
3.113;25.10.2022;21
3.444;25.10.2022;22
1.574;25.10.2022;23
1.487;25.10.2022;24
63.998;25.10.2022;Kokku
1.806;26.10.2022;1
1.562;26.10.2022;2
1.657;26.10.2022;3
1.91;26.10.2022;4
1.922;26.10.2022;5
3.536;26.10.2022;6
3.81;26.10.2022;7
2.206;26.10.2022;8
2.073;26.10.2022;9
2.205;26.10.2022;10
2.201;26.10.2022;11
2.173;26.10.2022;12
2.041;26.10.2022;13
3.729;26.10.2022;14
2.848;26.10.2022;15
2.945;26.10.2022;16
3.709;26.10.2022;17
4.738;26.10.2022;18
6.177;26.10.2022;19
3.744;26.10.2022;20
5.818;26.10.2022;21
2.653;26.10.2022;22
1.774;26.10.2022;23
1.695;26.10.2022;24
