total_consumption;date;hour
3.342;9.03.2022;13
3.381;9.03.2022;14
4.011;9.03.2022;15
4.086;9.03.2022;16
4.875;9.03.2022;17
5.289;9.03.2022;18
5.104;9.03.2022;19
6.095;9.03.2022;20
6.221;9.03.2022;21
4.999;9.03.2022;22
2.87;9.03.2022;23
2.262;9.03.2022;24
87.373;9.03.2022;Kokku
2.451;10.03.2022;1
2.303;10.03.2022;2
2.383;10.03.2022;3
2.803;10.03.2022;4
2.799;10.03.2022;5
3.488;10.03.2022;6
2.882;10.03.2022;7
3.571;10.03.2022;8
3.733;10.03.2022;9
2.682;10.03.2022;10
3.766;10.03.2022;11
5.341;10.03.2022;12
4.917;10.03.2022;13
3.737;10.03.2022;14
4.296;10.03.2022;15
5.804;10.03.2022;16
5.784;10.03.2022;17
7.328;10.03.2022;18
6.353;10.03.2022;19
6.429;10.03.2022;20
7.326;10.03.2022;21
5.113;10.03.2022;22
2.266;10.03.2022;23
2.242;10.03.2022;24
99.797;10.03.2022;Kokku
2.269;11.03.2022;1
2.127;11.03.2022;2
2.085;11.03.2022;3
2.541;11.03.2022;4
2.705;11.03.2022;5
4.512;11.03.2022;6
5.515;11.03.2022;7
4.989;11.03.2022;8
4.793;11.03.2022;9
3.271;11.03.2022;10
3.394;11.03.2022;11
2.697;11.03.2022;12
3.192;11.03.2022;13
3.32;11.03.2022;14
4.411;11.03.2022;15
5.629;11.03.2022;16
4.17;11.03.2022;17
4.025;11.03.2022;18
4.809;11.03.2022;19
6.21;11.03.2022;20
5.679;11.03.2022;21
4.652;11.03.2022;22
3.284;11.03.2022;23
2.63;11.03.2022;24
92.909;11.03.2022;Kokku
1.959;12.03.2022;1
2.32;12.03.2022;2
2.959;12.03.2022;3
2.241;12.03.2022;4
2.671;12.03.2022;5
2.817;12.03.2022;6
2.583;12.03.2022;7
4.445;12.03.2022;8
5.746;12.03.2022;9
3.493;12.03.2022;10
4.763;12.03.2022;11
6.212;12.03.2022;12
4.065;12.03.2022;13
3.942;12.03.2022;14
4.466;12.03.2022;15
3.049;12.03.2022;16
3.417;12.03.2022;17
4.12;12.03.2022;18
4.534;12.03.2022;19
5.183;12.03.2022;20
5.135;12.03.2022;21
4.895;12.03.2022;22
5.418;12.03.2022;23
3.564;12.03.2022;24
93.997;12.03.2022;Kokku
2.458;13.03.2022;1
2.365;13.03.2022;2
2.256;13.03.2022;3
2.314;13.03.2022;4
2.374;13.03.2022;5
2.217;13.03.2022;6
3.646;13.03.2022;7
3.65;13.03.2022;8
5.372;13.03.2022;9
4.288;13.03.2022;10
5.64;13.03.2022;11
5.652;13.03.2022;12
3.113;13.03.2022;13
3.987;13.03.2022;14
3.495;13.03.2022;15
5.032;13.03.2022;16
2.903;13.03.2022;17
4.96;13.03.2022;18
6.771;13.03.2022;19
7.373;13.03.2022;20
9.332;13.03.2022;21
6.456;13.03.2022;22
3.876;13.03.2022;23
3.497;13.03.2022;24
103.027;13.03.2022;Kokku
2.832;14.03.2022;1
2.381;14.03.2022;2
2.213;14.03.2022;3
2.538;14.03.2022;4
3.334;14.03.2022;5
2.755;14.03.2022;6
3.608;14.03.2022;7
4.364;14.03.2022;8
3.999;14.03.2022;9
3.035;14.03.2022;10
4.028;14.03.2022;11
4.645;14.03.2022;12
4.007;14.03.2022;13
4.194;14.03.2022;14
4.871;14.03.2022;15
4.107;14.03.2022;16
4.769;14.03.2022;17
6.869;14.03.2022;18
5.373;14.03.2022;19
4.458;14.03.2022;20
5.982;14.03.2022;21
4.043;14.03.2022;22
2.09;14.03.2022;23
2.107;14.03.2022;24
92.602;14.03.2022;Kokku
1.969;15.03.2022;1
1.73;15.03.2022;2
2.482;15.03.2022;3
2.22;15.03.2022;4
2.325;15.03.2022;5
